talent_entity_id,talent_name,talent_slug,talent_image_url,player_landing_page
06406690-0586-4c10-be06-b98571347be8,Theodora Richards,theodora-richards,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC84MS84MWY3YTEwODM0ODc1NDc2NGI3NmRkN2ZhY2Q2Y2ZjNF8xNzAyMDgwMDEyNjg5LmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/06406690-0586-4c10-be06-b98571347be8
a0415525-8924-4317-9544-33b469a100d8,Thom Hartmann,thom-hartmann,,https://www.siriusxm.com/player/talent/entity/a0415525-8924-4317-9544-33b469a100d8
5dfc078a-4e45-4470-a934-1091dbb93ea1,Thomas Rhett,thomas-rhett,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC80My80M2JiNGU3ZGIyMDBkOWIwYTk2NWEyZTA3ZmJkODcwOV8xNzA0MzIzNjUzMzM5LmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/5dfc078a-4e45-4470-a934-1091dbb93ea1
1eb4393e-2a3c-432f-83c2-6a619920c6ce,Thunder Rosa,thunder-rosa,,https://www.siriusxm.com/player/talent/entity/1eb4393e-2a3c-432f-83c2-6a619920c6ce
580aec29-81f6-449d-b477-868c739b46d0,Tig Notaro,tig-notaro,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC83ZS83ZWEzYzhlMmNkMmJlNjE0OTMxZmFkMWJiODhjNDkwNl8xNzM5MzgyMTAwMjMzLmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/580aec29-81f6-449d-b477-868c739b46d0
433785f6-c8fe-45fc-add8-7db538d804c6,Tiger Woods,tiger-woods,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC9jZi9jZmU4YjI4NTYwMjdiYmM1ZjVkZDE1YzIwNDE2ZWU2ZV8xNzIzMjIxNTQ0MzI3LmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/433785f6-c8fe-45fc-add8-7db538d804c6
64ad4834-4432-4465-b6be-3825d9e4557b,Tim Harford,tim-harford,,https://www.siriusxm.com/player/talent/entity/64ad4834-4432-4465-b6be-3825d9e4557b
14d13530-15bd-421d-9702-3d9ffb69bada,Tim Howard,tim-howard,,https://www.siriusxm.com/player/talent/entity/14d13530-15bd-421d-9702-3d9ffb69bada
5f801eab-7412-4c39-9095-51e3132a0f14,Tim Legler,tim-legler,,https://www.siriusxm.com/player/talent/entity/5f801eab-7412-4c39-9095-51e3132a0f14
e3842d68-0e1e-4f18-a70e-c051334c1dcb,Tim O'Brien,tim-obrien,,https://www.siriusxm.com/player/talent/entity/e3842d68-0e1e-4f18-a70e-c051334c1dcb
